trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Liberty State Park Loop Winter_T01,09:35:00,09:35:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Winter_T01,09:50:00,09:50:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Winter_T02,10:05:00,10:05:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Winter_T02,10:20:00,10:20:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Winter_T02,10:40:00,10:40:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Winter_T02,10:55:00,10:55:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Winter_T03,11:10:00,11:10:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Winter_T03,11:25:00,11:25:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Winter_T03,11:45:00,11:45:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Winter_T03,12:00:00,12:00:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Winter_T04,12:15:00,12:15:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Winter_T04,12:30:00,12:30:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Winter_T04,12:50:00,12:50:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Winter_T04,13:05:00,13:05:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Winter_T05,13:20:00,13:20:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Winter_T05,13:35:00,13:35:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Winter_T05,13:55:00,13:55:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Winter_T05,14:10:00,14:10:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Winter_T06,14:25:00,14:25:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Winter_T06,14:40:00,14:40:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Winter_T06,15:00:00,15:00:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Winter_T06,15:15:00,15:15:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Winter_T07,15:30:00,15:30:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Winter_T07,15:40:00,15:40:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Winter_T07,16:10:00,16:10:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Winter_T07,16:25:00,16:25:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T01,09:00:00,09:00:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T01,09:20:00,09:20:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T01,09:40:00,09:40:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T01,09:55:00,09:55:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T02,09:30:00,09:30:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T02,09:50:00,09:50:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T02,10:10:00,10:10:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T02,10:25:00,10:25:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T03,10:10:00,10:10:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T03,10:30:00,10:30:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T03,10:50:00,10:50:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T03,11:05:00,11:05:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T04,10:50:00,10:50:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T04,11:10:00,11:10:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T04,11:30:00,11:30:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T04,11:45:00,11:45:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T05,11:30:00,11:30:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T05,11:50:00,11:50:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T05,12:10:00,12:10:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T05,12:25:00,12:25:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T06,12:10:00,12:10:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T06,12:30:00,12:30:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T06,12:50:00,12:50:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T06,13:05:00,13:05:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T07,12:50:00,12:50:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T07,13:10:00,13:10:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T07,13:30:00,13:30:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T07,13:45:00,13:45:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T08,13:30:00,13:30:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T08,13:50:00,13:50:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T08,14:10:00,14:10:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T08,14:25:00,14:25:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T09,14:10:00,14:10:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T09,14:30:00,14:30:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T09,14:50:00,14:50:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T09,15:05:00,15:05:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Holiday_T10,14:50:00,14:50:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Holiday_T10,15:10:00,15:10:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Holiday_T10,15:30:00,15:30:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Holiday_T10,15:45:00,15:45:00,1_NJ,4,,,,,,7.86,1
